Id_number	Accession_name	Leaf-type	Leaflet-shape (in the first flowering node)	Leaflet-margin shape on the second real leaf	Leaflet-margin shape at the first flowering node	Leaflet-appex shape	Leaflet-colour	Leaflet-waxy bloom	Stipules-character of anthocyan spot	Tendrils of leaf-shape	Flower-vexillium colour	Flower-wings colour	Pea mosaic virus-resistance	Pea enation mosaic virus-resistance
L0100207	Waldmanns_Grune_Waldoria	5.00	2.50	1.50	1.25	1.75	3.25	4.50	1.00	4.00	1.25	1.00	4.25	3.75
L0100212	Monopol	5.00	2.75	3.00	2.00	2.25	6.50	8.00	1.00	3.00	1.25	1.75	3.50	3.75
L0100213	Principe	5.00	5.50	1.25	1.00	1.75	3.75	5.50	1.00	5.00	1.00	1.25	4.25	2.25
L0100214	Serpette	5.00	4.00	3.50	2.50	1.50	6.00	8.00	1.00	7.00	2.00	1.75	5.25	3.50
L0100215	Tiny_Tin	5.00	2.75	1.25	1.25	3.00	6.25	6.50	1.00	3.00	1.50	1.25	3.50	2.00
L0100216	Iregszemcse_P.I.	5.00	3.25	1.25	1.00	2.00	3.75	4.00	1.00	5.00	1.25	1.25	3.00	2.50
L0100217	Ujmajori_Kesei_Viktoria	5.00	5.00	2.25	1.75	2.75	3.25	4.50	1.00	7.00	1.25	1.00	4.00	4.25
L0100218	Sofia_Nr.5	5.00	3.00	1.50	1.00	1.75	3.00	4.50	1.00	7.00	1.50	1.00	2.50	2.25
L0100220	Tolbuchin	5.25	5.75	1.50	1.25	2.50	3.25	4.50	1.00	5.00	1.25	1.50	4.00	2.50
L0100221	Early_Bird_Improved	5.00	5.75	1.50	1.25	3.00	3.25	5.00	1.00	5.00	1.50	1.25	4.25	3.50
L0100222	Extra_Early_Market	5.00	5.75	1.25	1.00	2.25	3.25	4.00	1.00	5.00	1.25	1.00	3.25	2.75
L0100223	Extra_Early_Eight_Weeks	5.00	2.50	3.25	1.75	2.25	5.50	8.00	1.00	3.00	1.75	1.25	2.50	2.75
L0100224	Radio	5.00	2.50	4.00	4.00	3.00	4.75	5.50	1.00	5.00	1.25	1.00	2.00	2.25
L0100226	Dukat	5.00	2.25	1.75	1.50	3.50	5.50	4.50	1.00	4.00	1.25	1.25	5.25	4.50
L0100227	Zwaan's_Aurora	5.00	4.00	3.00	2.00	3.25	4.50	5.00	1.00	4.00	1.25	1.50	2.75	2.75
L0100228	Zwann's_Avante	5.00	3.50	1.75	1.25	3.00	3.50	4.50	1.00	5.50	1.50	1.00	3.00	2.50
L0100229	Zwann's_Finette	5.00	4.50	2.50	1.50	2.25	5.75	6.50	1.00	3.00	1.75	1.75	4.00	4.25
L0100230	Round_Ale_Ohlsen	5.00	4.00	1.00	1.25	3.50	2.25	3.50	1.00	6.00	2.25	2.25	3.50	4.00
L0100232	Pfluckerbse	5.00	4.25	2.25	2.00	1.50	5.50	4.50	1.00	3.50	2.00	1.50	3.00	3.25
L0100235	Espoirde_Gembloux	5.00	4.00	2.25	1.25	3.25	4.75	6.50	1.00	5.00	1.25	2.00	2.75	3.25
